timestamp,value1,value2,hand,gesture
1728496188.7881458,591,414,0,Closed
1728496188.7896805,507,409,0,Closed
1728496188.791364,479,405,0,Closed
1728496188.7929657,474,400,0,Closed
1728496188.7946064,475,395,0,Closed
1728496188.7961671,468,391,0,Closed
1728496188.7978666,473,386,0,Closed
1728496188.7994163,478,382,0,Closed
1728496188.801104,480,377,0,Closed
1728496188.8026714,522,372,0,Closed
1728496188.8043275,545,368,0,Closed
1728496188.8058636,709,363,0,Closed
1728496188.8077056,658,358,0,Closed
1728496188.809326,590,354,0,Closed
1728496188.8109124,507,349,0,Closed
1728496188.8123972,480,344,0,Closed
1728496188.8140202,478,340,0,Closed
1728496188.815636,479,335,0,Closed
1728496188.8172822,478,330,0,Closed
1728496188.8188164,480,326,0,Closed
1728496188.8206406,480,321,0,Closed
1728496188.822269,526,316,0,Closed
1728496188.8238704,606,311,0,Closed
1728496188.8256445,685,307,0,Closed
1728496188.8272636,851,302,0,Closed
1728496188.8288746,659,297,0,Closed
1728496188.8304887,588,292,0,Closed
1728496188.832111,479,287,0,Closed
1728496188.8338127,478,283,0,Closed
1728496188.836352,479,278,0,Closed
1728496188.8382423,474,273,0,Closed
1728496188.8401155,478,268,0,Closed
1728496188.843169,480,263,0,Closed
1728496188.844825,547,259,0,Closed
1728496188.8464165,556,254,0,Closed
1728496188.8480768,623,249,0,Closed
1728496188.84967,738,244,0,Closed
1728496188.8513072,723,239,0,Closed
1728496188.8532245,638,234,0,Closed
1728496188.8549798,515,230,0,Closed
1728496188.8567348,479,225,0,Closed
1728496188.8584635,479,220,0,Closed
1728496188.860311,478,215,0,Closed
1728496188.8618128,466,210,0,Closed
1728496188.8638437,480,205,0,Closed
1728496188.865116,479,200,0,Closed
1728496188.8666902,480,195,0,Closed
1728496188.8683524,510,190,0,Closed
1728496188.8700652,623,185,0,Closed
1728496188.8720405,721,181,0,Closed
1728496188.8739798,618,176,0,Closed
1728496188.8756485,511,171,0,Closed
1728496188.8772328,479,166,0,Closed
1728496188.878853,475,161,0,Closed
1728496188.8805678,471,156,0,Closed
1728496188.8821852,467,151,0,Closed
1728496188.8837218,471,146,0,Closed
1728496188.885528,475,141,0,Closed
1728496188.8873432,480,136,0,Closed
1728496188.8889863,520,131,0,Closed
1728496188.890574,547,126,0,Closed
1728496188.892197,734,121,0,Closed
1728496188.8939786,633,116,0,Closed
1728496188.895475,596,111,0,Closed
1728496188.8983605,479,106,0,Closed
1728496188.9000232,479,101,0,Closed
1728496188.902198,478,96,0,Closed
