timestamp,value1,value2
1728496189.0411978,480,294
1728496189.0427284,480,299
1728496189.04451,537,304
1728496189.0459957,572,308
1728496189.0475218,632,313
1728496189.0490868,732,318
1728496189.0505524,675,323
1728496189.052291,621,327
1728496189.0541818,479,332
1728496189.0567,479,337
1728496189.0584598,477,341
1728496189.0601451,478,346
1728496189.061737,479,351
1728496189.0636146,479,355
1728496189.0650434,480,360
1728496189.066619,540,365
1728496189.0687845,607,369
1728496189.0707653,758,374
1728496189.0724318,747,379
1728496189.074004,656,383
1728496189.0756214,545,388
1728496189.0771055,479,393
1728496189.0790012,479,397
1728496189.0806773,478,402
1728496189.082253,460,406
1728496189.084846,468,411
1728496189.0861413,479,415
1728496189.0878582,480,420
1728496189.0894423,523,425
1728496189.091095,586,429
1728496189.0927088,652,434
1728496189.0943687,649,438
1728496189.0959647,522,443
1728496189.0976062,479,447
1728496189.0994973,476,451
1728496189.1009421,478,456
1728496189.1027482,462,460
1728496189.1046207,465,465
1728496189.1062121,477,469
1728496189.108027,480,474
1728496189.109626,480,478
1728496189.1112044,533,482
1728496189.1127605,694,487
1728496189.114315,610,491
1728496189.118642,654,496
1728496189.1201842,486,500
1728496189.1223414,477,504
1728496189.1242,474,509
1728496189.1258507,474,513
1728496189.12773,455,517
1728496189.1292834,465,521
1728496189.130803,479,526
1728496189.1328537,480,530
1728496189.1342702,547,534
1728496189.1364765,596,538
1728496189.1382794,745,543
1728496189.1400409,651,547
1728496189.1417415,574,551
1728496189.143239,479,555
1728496189.1449332,479,559
1728496189.146634,479,563
1728496189.1482594,475,567
1728496189.1498392,468,572
1728496189.1518555,480,576
1728496189.1536384,480,580
1728496189.1552072,538,584
1728496189.156659,597,588
1728496189.1583273,703,592
1728496189.1601484,752,596
1728496189.1616032,671,600
1728496189.1631815,508,604
1728496189.1647766,479,608
1728496189.166678,479,612
1728496189.1688733,479,616
1728496189.1703832,473,620
1728496189.1719198,479,624
1728496189.1739728,480,628
1728496189.1755614,498,631
1728496189.177166,571,635
1728496189.178716,619,639
1728496189.1803124,684,643
1728496189.1819375,650,647
1728496189.1839666,566,651
1728496189.1875648,479,654
1728496189.1887708,479,658
1728496189.1905897,476,662
1728496189.192517,462,666
1728496189.1945765,467,669
1728496189.1962795,478,673
1728496189.1981726,480,677
1728496189.1999054,487,681
1728496189.2018113,533,684
1728496189.203587,694,688
1728496189.2054546,665,691
1728496189.2073283,574,695
1728496189.2093456,502,699
1728496189.2108002,479,702
1728496189.2124357,476,706
1728496189.2140565,477,709
1728496189.215706,449,713
1728496189.2173755,470,716
1728496189.2191339,480,720
1728496189.2212336,479,723
1728496189.2226925,518,727
1728496189.224309,571,730
1728496189.225923,646,733
1728496189.2277484,632,737
1728496189.229187,541,740
1728496189.2308824,479,744
1728496189.232487,471,747
1728496189.2341332,471,750
1728496189.235919,451,754
1728496189.2375882,464,757
1728496189.2392342,475,760
1728496189.2411983,480,763
1728496189.2426186,482,767
1728496189.2442052,575,770
1728496189.2457802,766,773
1728496189.2479203,769,776
1728496189.2489965,643,779
1728496189.2505705,566,782
1728496189.2521758,479,785
1728496189.2538486,478,789
1728496189.255559,473,792
1728496189.2571437,471,795
1728496189.2598624,478,798
1728496189.2611058,480,801
1728496189.2627037,510,804
1728496189.2646446,579,807
1728496189.266679,633,810
1728496189.2689655,739,813
1728496189.270346,669,815
1728496189.2720041,581,818
1728496189.2741334,479,821
1728496189.2757661,478,824
1728496189.2773454,479,827
1728496189.278898,474,830
1728496189.2807777,479,832
1728496189.2822528,479,835
1728496189.2838116,480,838
1728496189.285789,562,841
1728496189.287728,611,843
1728496189.2893386,746,846
1728496189.2909198,711,849
1728496189.292517,614,851
1728496189.2942777,528,854
1728496189.295703,479,857
1728496189.2972877,471,859
1728496189.2988238,476,862
1728496189.300438,453,864
1728496189.3025959,474,867
1728496189.3043916,480,869
1728496189.3059862,480,872
1728496189.3078222,507,874
1728496189.3092883,620,876
1728496189.3108716,720,879
1728496189.312476,604,881
1728496189.314305,527,884
1728496189.3157997,479,886
1728496189.3173041,467,888
1728496189.3189795,479,891
1728496189.320869,464,893
1728496189.3223424,477,895
1728496189.3250089,479,897
1728496189.3267329,480,899
1728496189.3285186,492,902
1728496189.3304238,569,904
1728496189.3321295,688,906
1728496189.334412,644,908
1728496189.3355858,572,910
1728496189.3374696,479,912
1728496189.339361,478,914
1728496189.3412442,475,916
1728496189.3427374,474,918
1728496189.344323,468,920
1728496189.3459218,477,922
1728496189.3477259,480,924
1728496189.349224,517,926
1728496189.3508356,582,928
1728496189.3529518,689,930
1728496189.354792,824,931
1728496189.3563726,653,933
1728496189.357984,548,935
1728496189.359661,479,937
1728496189.3612826,479,939
1728496189.362855,479,940
1728496189.3644319,467,942
1728496189.3662283,479,944
1728496189.3681006,480,945
1728496189.3697424,509,947
1728496189.3714535,568,948
1728496189.373344,602,950
1728496189.3748066,764,952
1728496189.37636,755,953
1728496189.3779166,638,955
1728496189.3797295,492,956
1728496189.3811684,479,958
1728496189.3827114,476,959
1728496189.3847547,479,960
1728496189.3867457,478,962
1728496189.3884437,469,963
1728496189.3907337,479,964
1728496189.3930058,524,966
1728496189.3946433,592,967
1728496189.396243,671,968
1728496189.3989034,792,970
1728496189.4004169,650,971
1728496189.402222,569,972
1728496189.404354,479,973
1728496189.405721,477,974
1728496189.407269,473,975
1728496189.4088988,450,976
1728496189.4105163,474,978
1728496189.4123352,478,979
1728496189.4138162,480,980
1728496189.415448,527,981
1728496189.4170916,553,982
1728496189.4190812,710,983
1728496189.4209898,637,983
1728496189.422597,581,984
1728496189.4241946,479,985
1728496189.4258416,478,986
1728496189.4274135,478,987
1728496189.4290364,473,988
1728496189.430741,478,988
1728496189.4326067,479,989
1728496189.4340594,479,990
1728496189.4357436,480,991
1728496189.4373453,517,991
1728496189.439419,630,992
1728496189.4407086,727,993
1728496189.44232,597,993
1728496189.4439662,524,994
1728496189.4459743,478,994
1728496189.4474123,476,995
1728496189.4490142,471,995
1728496189.4506445,466,996
1728496189.452468,474,996
1728496189.4545057,480,997
1728496189.456239,543,997
1728496189.4578996,570,997
1728496189.4620898,629,998
1728496189.4636917,787,998
1728496189.4659402,709,998
1728496189.4675584,643,999
1728496189.469676,493,999
1728496189.471472,479,999
1728496189.4730897,479,999
1728496189.4747908,474,999
1728496189.476231,470,1000
1728496189.477858,479,1000
1728496189.4797838,479,1000
1728496189.4819958,531,1000
1728496189.4840136,591,1000
1728496189.486148,749,1000
1728496189.4883292,723,1000
1728496189.490161,641,1000
1728496189.4916842,543,1000
1728496189.4931726,479,1000
1728496189.494731,477,1000
1728496189.496568,474,1000
1728496189.4981565,474,999
1728496189.4998782,473,999
1728496189.5015197,480,999
1728496189.5034149,541,999
1728496189.5051122,613,999
1728496189.5067334,675,998
1728496189.5083535,760,998
1728496189.5101979,606,998
1728496189.5116692,512,997
1728496189.51324,479,997
1728496189.5148416,474,997
1728496189.516699,472,996
1728496189.518517,475,996
1728496189.520034,468,995
1728496189.5216458,477,995
1728496189.5236032,479,994
1728496189.5251992,524,994
1728496189.5280125,551,993
1728496189.5292077,686,992
1728496189.5310614,669,992
1728496189.5328693,580,991
1728496189.5346544,479,991
1728496189.5369086,476,990
1728496189.539096,473,989
1728496189.5420127,457,988
1728496189.5435016,463,988
1728496189.5451264,464,987
1728496189.546752,480,986
1728496189.548665,480,985
1728496189.5501878,519,984
1728496189.5520456,677,983
1728496189.553769,704,982
1728496189.5557454,587,981
1728496189.5573952,485,981
1728496189.5590017,478,980
1728496189.56062,473,979
1728496189.5624297,463,977
1728496189.5638459,472,976
1728496189.5654593,480,975
1728496189.5670578,480,974
1728496189.5686908,494,973
1728496189.5704184,588,972
1728496189.5720675,620,971
1728496189.5737057,728,969
1728496189.5758064,695,968
1728496189.5772073,577,967
1728496189.578824,479,966
1728496189.580385,479,964
1728496189.5823426,476,963
1728496189.5838525,472,962
1728496189.5855522,477,960
1728496189.5873034,480,959
1728496189.5888891,485,957
1728496189.590488,525,956
1728496189.5920703,615,955
1728496189.5947382,752,953
1728496189.5961578,716,952
1728496189.5983913,611,950
1728496189.6000032,559,948
1728496189.6018746,479,947
1728496189.6033425,479,945
1728496189.6052651,478,944
1728496189.6069028,473,942
1728496189.6086524,478,940
1728496189.6102586,480,938
1728496189.6121693,500,937
1728496189.613657,571,935
1728496189.6153362,664,933
1728496189.6169093,674,931
1728496189.6186495,580,930
1728496189.620291,565,928
1728496189.6219661,479,926
1728496189.6235788,473,924
1728496189.6255047,476,922
1728496189.62696,454,920
1728496189.6285496,466,918
1728496189.6300678,477,916
1728496189.6318824,480,914
1728496189.6333234,512,912
1728496189.635245,565,910
1728496189.6370354,713,908
1728496189.6385515,641,906
1728496189.6401799,560,904
1728496189.6417954,479,901
1728496189.6435647,478,899
1728496189.6450586,467,897
1728496189.6467164,478,895
1728496189.6494899,466,893
1728496189.6507661,478,890
1728496189.652761,479,888
1728496189.6549473,480,886
1728496189.6569479,538,883
1728496189.6586618,647,881
1728496189.6603677,716,879
1728496189.662033,591,876
1728496189.6637127,482,874
1728496189.6654055,478,871
1728496189.6671581,477,869
1728496189.6692014,476,866
1728496189.6708949,476,864
1728496189.6725092,477,861
1728496189.6743147,480,859
1728496189.6761682,501,856
1728496189.677783,572,854
1728496189.6793938,611,851
1728496189.680998,776,848
1728496189.682809,687,846
1728496189.6848285,560,843
1728496189.686125,479,840
1728496189.6877782,479,838
1728496189.6894066,479,835
1728496189.6910686,477,832
1728496189.692671,478,829
1728496189.694265,478,827
1728496189.695983,480,824
1728496189.69765,548,821
1728496189.6995127,588,818
1728496189.701077,716,815
1728496189.7030716,746,812
1728496189.7049677,622,809
1728496189.7066321,549,806
1728496189.7082245,479,803
1728496189.7098782,479,800
1728496189.7114751,478,797
1728496189.712966,469,794
1728496189.714653,473,791
1728496189.716683,480,788
1728496189.7182913,507,785
1728496189.7199647,581,782
1728496189.721888,572,779
1728496189.7233253,696,776
1728496189.725051,614,773
1728496189.7268257,528,770
1728496189.72847,479,766
1728496189.7311296,477,763
1728496189.7328553,474,760
1728496189.7347097,462,757
1728496189.7367537,472,753
1728496189.7391424,478,750
1728496189.7407324,480,747
1728496189.7427642,505,743
1728496189.7441397,539,740
1728496189.7458363,699,737
